Id,Label,Popularity
James Arnold Taylor,James Arnold Taylor,22.529
Francesc Garrido,Francesc Garrido,3.994
Paula Echevarría,Paula Echevarría,12.058
Igal Naor,Igal Naor,7.738
Halle Berry,Halle Berry,46.946
María Vázquez,María Vázquez,6.768
Daniel Lundh,Daniel Lundh,3.43
Eduard Fernández,Eduard Fernández,10.342
Rossy de Palma,Rossy de Palma,10.02
Ira del Río,Ira del Río,0.5
Luisa Rubino,Luisa Rubino,2.586
Eleonora Wexler,Eleonora Wexler,2.739
Alejandro Awada,Alejandro Awada,2.768
Álvaro Ogalla,Álvaro Ogalla,0.888
Vicente Romero,Vicente Romero,0.6
Fina Rius,Fina Rius,0.6
Pedro Casablanc,Pedro Casablanc,3.231
Federico Luppi,Federico Luppi,3.305
Mela Casal,Mela Casal,0.6
Colin McFarlane,Colin McFarlane,17.308
Ben Temple,Ben Temple,7.824
Nidia Telles,Nidia Telles,0.6
Milla Jovovich,Milla Jovovich,34.673
Christian Bale,Christian Bale,70.519
Max Marieges,Max Marieges,0.6
Maxi Iglesias,Maxi Iglesias,12.504
Jordi Sánchez,Jordi Sánchez,7.326
Arantza Ruiz,Arantza Ruiz,0.603
Bea Segura,Bea Segura,16.64
Javier Rey,Javier Rey,6.976
Nil Cardoner,Nil Cardoner,2.21
Candela Antón,Candela Antón,2.468
Aina Clotet,Aina Clotet,6.571
Jorge Basanta,Jorge Basanta,1.62
Ana Santos,Ana Santos,0.6
Belén Rueda,Belén Rueda,9.649
Sönke Möhring,Sönke Möhring,11.285
Eugenio Derbez,Eugenio Derbez,28.189
Dominic Boyle,Dominic Boyle,0.6
Mario Guerra,Mario Guerra,2.744
Rodrigo de la Serna,Rodrigo de la Serna,5.713
Manu Fullola,Manu Fullola,6.518
Júlia Gibert,Júlia Gibert,1.4
Leander Vyvey,Leander Vyvey,0.874
Charo López,Charo López,1.81
Belén Cuesta,Belén Cuesta,10.007
Veronica Falcón,Veronica Falcón,16.351
Vicky Luengo,Vicky Luengo,7.623
Lluís Homar,Lluís Homar,5.439
Jason Schwartzman,Jason Schwartzman,28.095
Klaudia Dudová,Klaudia Dudová,1.38
Jon Arias,Jon Arias,1.753
Itzan Escamilla,Itzan Escamilla,9.139
Luis Luque,Luis Luque,5.249
Richard van Weyden,Richard van Weyden,3.424
Carlos Manuel Díaz,Carlos Manuel Díaz,0.98
Penélope Cruz,Penélope Cruz,23.628
Dani El Rojo,Dani El Rojo,0.6
Daniel Ortiz,Daniel Ortiz,10.094
Ana Wagener,Ana Wagener,9.373
Maribel Salas,Maribel Salas,0.828
Chani Martín,Chani Martín,3.75
Tammy Gillis,Tammy Gillis,10.76
Cristina Castaño,Cristina Castaño,8.639
Santiago Cuquejo,Santiago Cuquejo,0.5
Juan Manuel Montilla,Juan Manuel Montilla,0.6
Verónika Moral,Verónika Moral,1.812
Carlo Rota,Carlo Rota,9.782
Itziar Aizpuru,Itziar Aizpuru,1.304
Manuel Morón,Manuel Morón,3.175
Clare Durant,Clare Durant,1.566
Emilio Echevarría,Emilio Echevarría,2.575
Giselle Calderón,Giselle Calderón,1.208
Itziar Atienza,Itziar Atienza,6.138
Claudia Canal,Claudia Canal,0.6
Laura Prats,Laura Prats,2.591
Ibrahim Al Shami,Ibrahim Al Shami,2.175
Chelo Falcón,Chelo Falcón,0.5
Concha Velasco,Concha Velasco,6.116
Marta Torné,Marta Torné,4.651
Adriana Ozores,Adriana Ozores,4.283
Javier Mascherano,Javier Mascherano,1.96
Darío Grandinetti,Darío Grandinetti,4.522
Hannah Murray,Hannah Murray,14.773
Dorian Harewood,Dorian Harewood,9.68
Carmen Machi,Carmen Machi,21.268
Ivana Baquero,Ivana Baquero,8.329
Aia Kruse,Aia Kruse,3.458
Catelina Sopelana,Catelina Sopelana,0.5
Anna Castillo,Anna Castillo,37.759
Tamar Novas,Tamar Novas,25.839
Mariana Carballal,Mariana Carballal,0.84
Ruth Díaz,Ruth Díaz,3.825
Néstor Cantillana,Néstor Cantillana,8.508
Son Khoury,Son Khoury,1.222
Paulina García,Paulina García,3.96
Garrett Clayton,Garrett Clayton,21.42
Jennifer Lim,Jennifer Lim,3.508
Mina El Hammani,Mina El Hammani,11.384
Michael Ironside,Michael Ironside,50.171
Claire Goose,Claire Goose,5.352
Mónica López,Mónica López,3.019
Consuelo Trujillo,Consuelo Trujillo,0.972
Teo García,Teo García,3.433
Montse Guallar,Montse Guallar,6.859
Esperanza Elipe,Esperanza Elipe,2.455
Jonás Beramí,Jonás Beramí,1.454
Juan Codina,Juan Codina,1.602
Manolo Solo,Manolo Solo,8.477
Khaled Kouka,Khaled Kouka,0.6
James Melville,James Melville,3.175
José Pedro Bujaruz,José Pedro Bujaruz,0.6
Francesca Piñón,Francesca Piñón,2.086
Antonio Resines,Antonio Resines,4.578
Antonio Durán 'Morris',Antonio Durán 'Morris',3.798
Frances Barber,Frances Barber,13.051
José Sacristán,José Sacristán,6.458
Hugo Balaguer,Hugo Balaguer,0.5
Isaac Hernández,Isaac Hernández,1.529
Hugo Arbues,Hugo Arbues,5.673
Bella Thorne,Bella Thorne,48.347
Robert Downey Jr.,Robert Downey Jr.,50.825
Joshua Peace,Joshua Peace,8.348
Mercedes Hoyos,Mercedes Hoyos,0.6
Paul Walker,Paul Walker,25.187
Amparo Moreno,Amparo Moreno,2.307
Ayisha Issa,Ayisha Issa,6.645
Diana Fernández Pérez,Diana Fernández Pérez,0.6
Miguel Herrán,Miguel Herrán,14.147
Juanma Cifuentes,Juanma Cifuentes,1.4
Richard Zeman,Richard Zeman,19.06
Andy Nyman,Andy Nyman,5.191
Moustapha Oumarou,Moustapha Oumarou,0.5
Mar Ayala,Mar Ayala,0.6
Verónica Forqué,Verónica Forqué,3.879
Guillermo Furiase,Guillermo Furiase,0.5
Allende Blanco,Allende Blanco,0.6
Candi Milo,Candi Milo,19.528
Guillermo Pfening,Guillermo Pfening,2.354
Iván Marcos,Iván Marcos,1.746
Nicole Kidman,Nicole Kidman,54.156
Sergio Dorado,Sergio Dorado,0.925
Roberto Álamo,Roberto Álamo,7.355
Marian Álvarez,Marian Álvarez,1.278
Teresita Evuy,Teresita Evuy,0.6
Ana Polvorosa,Ana Polvorosa,6.649
Mark Cirillo,Mark Cirillo,12.051
Toni Gómez,Toni Gómez,1.265
Irati Saez de Urabain,Irati Saez de Urabain,0.6
Angie Cepeda,Angie Cepeda,19.715
Anthony Head,Anthony Head,10.531
August Wittgenstein,August Wittgenstein,8.646
Nicolás Furtado,Nicolás Furtado,2.884
Alex Brendemühl,Alex Brendemühl,9.215
Peter Vives,Peter Vives,5.5
Alberto Jo Lee,Alberto Jo Lee,6.208
Olivia Molina,Olivia Molina,8.413
Pepe Rapazote,Pepe Rapazote,4.035
Raven-Symoné,Raven-Symoné,13.097
Álvaro Cervantes,Álvaro Cervantes,10.558
Eve Ponsonby,Eve Ponsonby,5.973
Adrian Pang,Adrian Pang,4.063
David Ryall,David Ryall,7.529
Jesús Mosquera,Jesús Mosquera,3.329
Asia Ortega,Asia Ortega,11.436
Eneko Sagardoy,Eneko Sagardoy,2.934
Ricardo de Barreiro,Ricardo de Barreiro,2.549
Andrea Frigerio,Andrea Frigerio,7.587
Marta Marco,Marta Marco,1.321
Assun Planas,Assun Planas,1.07
Enrique Villén,Enrique Villén,1.96
Benoît Pilot,Benoît Pilot,1.96
Tim Post,Tim Post,7.839
Samuel Joslin,Samuel Joslin,4.504
Jennifer Jason Leigh,Jennifer Jason Leigh,21.384
Greta Fernández,Greta Fernández,5.628
Daniel Faraldo,Daniel Faraldo,6.722
Carmen Maura,Carmen Maura,19.937
Yune Nogueiras,Yune Nogueiras,0.6
Andrés Gertrúdix,Andrés Gertrúdix,1.81
Tara Strong,Tara Strong,68.459
Norm Macdonald,Norm Macdonald,25.44
Michael Carnick,Michael Carnick,2.744
Jason Wishnowski,Jason Wishnowski,2.379
Daniela Rubio,Daniela Rubio,1.96
Isabel Garrido,Isabel Garrido,0.6
Sandor Funtek,Sandor Funtek,2.131
Miquel Gelabert,Miquel Gelabert,4.637
Joe Cole,Joe Cole,15.211
Adam Jezierski,Adam Jezierski,2.306
Michael O'Neill,Michael O'Neill,21.271
Wallace Shawn,Wallace Shawn,39.248
Luisa Mayol,Luisa Mayol,1.954
Richard Bohringer,Richard Bohringer,6.703
Luis Gnecco,Luis Gnecco,6.649
Óscar Zafra,Óscar Zafra,1.866
John Cleese,John Cleese,28.664
Álvaro Roig,Álvaro Roig,0.972
Joshua Zamrycki,Joshua Zamrycki,0.98
