Id,Label,Popularity
Akbar Khan,Akbar Khan,3.03
Puru Chibber,Puru Chibber,1.4
Shama Deshpande,Shama Deshpande,1.4
Ramya Nambeeshan,Ramya Nambeeshan,6.38
Mammootty,Mammootty,17.035
Suzanna Mukherjee,Suzanna Mukherjee,1.22
Dolly Minhas,Dolly Minhas,1.96
Arpita Banerjee,Arpita Banerjee,0.6
Zul Vellani,Zul Vellani,0.678
Aradhana Srivastav,Aradhana Srivastav,0.5
Supriya Shukla,Supriya Shukla,6.552
Mahendra Rabha,Mahendra Rabha,0.6
Shehzad Khan,Shehzad Khan,0.84
Lily Travers,Lily Travers,2.633
Harsh Sethi,Harsh Sethi,0.5
Shivam Patil,Shivam Patil,2.009
Deedar GIll,Deedar GIll,0.6
Renji Panicker,Renji Panicker,5.151
Katie Leung,Katie Leung,23.332
Rythvika Suriya,Rythvika Suriya,0.5
Cindy Robinson,Cindy Robinson,13.308
Teresa Gallagher,Teresa Gallagher,10.497
Samir Soni,Samir Soni,7.884
Vivaan Shah,Vivaan Shah,3.842
Sanjay Khapre,Sanjay Khapre,0.6
Sunny Hinduja,Sunny Hinduja,2.571
Satish Kaushik,Satish Kaushik,9.352
Sofiko Chiaureli,Sofiko Chiaureli,3.489
Dolly Ahluwalia,Dolly Ahluwalia,4.153
Avii,Avii,0.6
Sudhi Koppa,Sudhi Koppa,4.161
Tapsee Pannu,Tapsee Pannu,33.676
A.S. Sasi Kumar,A.S. Sasi Kumar,0.6
Bharti Aacharekar,Bharti Aacharekar,0.5
Shruti Haasan,Shruti Haasan,20.464
Shawar Ali,Shawar Ali,2.967
Viraaj Modgill,Viraaj Modgill,0.5
Dhirendra Tiwari,Dhirendra Tiwari,0.6
Hassan Zaidi,Hassan Zaidi,0.6
Sourav Chakraborty,Sourav Chakraborty,0.6
Kunal Sharma,Kunal Sharma,15.341
Ziesha Nancy,Ziesha Nancy,0.5
Surbhi Jyoti,Surbhi Jyoti,11.881
Maulik Jagdish Nayak,Maulik Jagdish Nayak,0.5
Sauraseni Maitra,Sauraseni Maitra,8.883
Aarjav Trivedi,Aarjav Trivedi,1.004
Chetan Cheenu,Chetan Cheenu,0.5
Reba Monica John,Reba Monica John,6.049
Shivani Tanksale,Shivani Tanksale,6.071
Aashish Kulkarni,Aashish Kulkarni,0.98
Jonita,Jonita,2.759
Parno Mittra,Parno Mittra,4.321
Rajkiran,Rajkiran,4.474
Dheer Charan Srivastav,Dheer Charan Srivastav,0.6
Nitish Pandey,Nitish Pandey,0.5
Meera Welankar,Meera Welankar,0.5
James Franco,James Franco,26.282
Shivalati Bokil,Shivalati Bokil,0.5
Charu Asopa,Charu Asopa,0.6
Beena Kak,Beena Kak,0.98
Avrinder Kaur,Avrinder Kaur,0.6
Vedashree Rao,Vedashree Rao,1.4
Mohit Gokhale,Mohit Gokhale,0.6
Saidah Jules,Saidah Jules,0.98
Trupti Toradmal,Trupti Toradmal,1.4
Prem Prakash,Prem Prakash,2.617
Hobby Dhaliwal,Hobby Dhaliwal,3.66
Suhaas Khandke,Suhaas Khandke,0.6
Tarlochan Singh,Tarlochan Singh,0.98
Naina Sareen,Naina Sareen,1.62
Shreeram Lagoo,Shreeram Lagoo,1.568
Shernaz Patel,Shernaz Patel,6.313
Hima Singh,Hima Singh,0.694
Uko,Uko,8.214
Kawa Ada,Kawa Ada,3.063
Lisa Ray,Lisa Ray,26.503
Lara Dutta,Lara Dutta,3.689
Javed Akhtar,Javed Akhtar,9.635
Akansha Ranjan Kapoor,Akansha Ranjan Kapoor,0.984
Vinod Nagpal,Vinod Nagpal,5.379
Anubrata Basu,Anubrata Basu,3.684
Akanksha Puri,Akanksha Puri,0.5
Neelu Kohli,Neelu Kohli,3.571
Bobby Sandhu,Bobby Sandhu,0.6
Jaihind Kumar,Jaihind Kumar,1.052
Zain Khan Durrani,Zain Khan Durrani,1.156
Beena,Beena,0.6
Randeep Jha,Randeep Jha,0.972
Rajesh Puri,Rajesh Puri,0.6
India Jarvis,India Jarvis,0.6
Atul Kumar,Atul Kumar,1.38
Sanjay Jadhav,Sanjay Jadhav,0.6
Jason Flemyng,Jason Flemyng,17.93
Renuka Shahane,Renuka Shahane,1.16
Sudhanshu Pandey,Sudhanshu Pandey,3.6
