x,y,cluster_labels,movie_titles,overview,production_countries,release_date,Doc_ID,centroid,x_centroid,y_centroid,distance_to_centroid,topic_strings
61.89269,-19.218199,44,Fary Is the New Black,"Armed with sly wit, a fresh outlook and plenty of style, French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special.",[],2018-04-03,3947,44_centroid,65.43085,-19.475822,3.5475252,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
71.93657,-12.806323,44,Seth Rogen's Hilarity for Charity,"Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth. Guests include Tiffany Haddish, Sarah Silverman, Michelle Wolf, John Mulaney, Michael Che, David Chang, Ike Barinholtz, Chelsea Peretti, Kumail Nanjiani, Jon Lovitz, Jeff Goldblum, Sacha Baron Cohen, Nick Kroll, Post Malone, Chris Hardwick, and Craig Robinson & The Nasty Delicious.",[],2018-04-06,3955,44_centroid,65.43085,-19.475822,9.317008,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
59.928833,-10.35709,44,Yoo Byung Jae: Too Much Information,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture.",['South Korea'],2018-03-16,3986,44_centroid,65.43085,-19.475822,10.650044,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
60.22394,-16.979147,44,Natalia Valdebenito: El especial,"A Chilean comedian fuses activism with irreverence for a stand-up set filled with jokes about misogyny, reproductive rights and respecting women.",['Chile'],2018-03-02,3997,44_centroid,65.43085,-19.475822,5.7745347,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
68.65518,-26.987644,44,Ricky Gervais: Humanity,"In his first special in seven years, Ricky Gervais slings his trademark snark at celebrity, mortality and a society that takes everything personally.",['United Kingdom'],2018-03-13,4012,44_centroid,65.43085,-19.475822,8.1745825,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
73.126976,-32.03482,44,Gad Elmaleh: American Dream,"In his first English-language special, comedian Gad Elmaleh gleefully digs into America's food obsessions, dating culture, slang, and more.",['United States of America'],2018-03-06,4014,44_centroid,65.43085,-19.475822,14.729523,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
55.659885,-10.364604,44,Agustín Aristarán: Soy Rada,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine.",['Argentina'],2018-02-16,4021,44_centroid,65.43085,-19.475822,13.359865,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
74.14442,-17.274445,44,Chris Rock: Tamborine,"Chris Rock takes the stage for his first comedy special in 10 years, filled with searing observations on fatherhood, infidelity and American politics.",['United States of America'],2018-02-14,4034,44_centroid,65.43085,-19.475822,8.987344,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
65.05782,-20.15955,44,Marlon Wayans: Woke-ish,"An American stand-up comedy special starring Marlon Wayans who jokes about racism, hip-hop, gay rights, and raising kids.",['United States of America'],2018-02-27,4038,44_centroid,65.43085,-19.475822,0.77886444,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
62.960266,-25.54822,44,A Futile and Stupid Gesture,"In a life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",['United States of America'],2018-01-24,4041,44_centroid,65.43085,-19.475822,6.555744,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
62.900475,-14.91385,44,Fakkah Fuzz: Almost Banned,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.,[],2018-01-26,4044,44_centroid,65.43085,-19.475822,5.2167406,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
56.36816,-18.046219,44,Sebastián Marcelo Wainraich,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",['Argentina'],2018-01-26,4049,44_centroid,65.43085,-19.475822,9.174751,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
62.099663,-13.524877,44,Harith Iskander: I Told You So,"Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, and Rick Astley.",['United States of America'],2018-01-19,4050,44_centroid,65.43085,-19.475822,6.8198643,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
70.984566,-21.154247,44,Jerry Seinfeld: I'm Telling You for the Last Time,"Taped for HBO in August 1998, on the final date of Jerry Seinfeld's tour appearances at New York City's Broadhurst Theater, I'm Telling You for the Last Time presents the standup comedian's so-called ""final"" standup, or at least his final tour with the standup material that made him famous.",['United States of America'],1998-08-08,4058,44_centroid,65.43085,-19.475822,5.8018017,"dunham, chapman, python, comedians, kinison, jokes, jeff, sketches, klub, snl"
